"","scenario","ssb_below_blim_total","ssb_below_blim_iter","collapse_total","collapse_iter","fmaxed_total","fmaxed_iter","yield","rel_yield","stk_pos","stk_pos2","stock","fhist","catch_rule","TAC","options","uncertainty","perfect_knowledge","HCRmult","w","b_w","b_z","upper_constraint","lower_constraint"
"29",29,0.683,1,0.542,0.86,0.02,0.82,15.1274202492388,0.151732822795594,5,5,"mut-comb","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"30",30,0.08564,1,0.01898,0.052,0.00084,0.044,21.8982175915102,0.22078693879853,5,5,"mut-comb","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"31",31,0.50804,1,0.27534,0.95,0.02856,0.932,16.7684222700355,0.194358377617656,6,6,"tur-nsea","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"32",32,0.79948,1,0.63004,0.974,0.06474,0.974,7.64933935064083,0.0886614830003503,6,6,"tur-nsea","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"33",33,0.35438,1,0.24456,0.374,0.02422,0.374,33.2107186575959,0.384936715801891,6,6,"tur-nsea","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"34",34,0.60108,1,0.50546,0.838,0.05834,0.836,17.5616323068989,0.203552266785769,6,6,"tur-nsea","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"35",35,0.8026,1,0.6614,1,0.0666,1,3.10413209976466,0.0358029936464457,6,6,"tur-nsea","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"36",36,0.08644,1,0.01702,0.09,0.0017,0.08,16.4549768252412,0.190725313806356,6,6,"tur-nsea","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"37",37,0.50048,1,0.25954,0.942,0.0304,0.924,37.0153678982554,0.232196858550458,7,7,"lem-nsea","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"38",38,0.82466,1,0.64264,0.946,0.07158,0.946,22.017385063512,0.13811473275899,7,7,"lem-nsea","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"39",39,0.83256,1,0.67364,0.994,0.0762,0.994,16.2122122528085,0.101698969076917,7,7,"lem-nsea","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"40",40,0.78254,1,0.63012,0.906,0.07236,0.906,22.0104774701149,0.13807140152718,7,7,"lem-nsea","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"41",41,0.7852,1,0.6712,0.96,0.0778,0.96,5.12717905216768,0.0320142799441084,7,7,"lem-nsea","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
