"","scenario","ssb_below_blim_total","ssb_below_blim_iter","collapse_total","collapse_iter","fmaxed_total","fmaxed_iter","yield","rel_yield","stk_pos","stk_pos2","stock","fhist","catch_rule","TAC","options","uncertainty","perfect_knowledge","HCRmult","w","b_w","b_z","upper_constraint","lower_constraint"
"1282",1282,0.07988,0.764,4e-05,0.004,0,0,92.0746254270119,0.620159415399171,46,17,"syc27.8c","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1283",1283,0.21702,0.994,0.00156,0.042,0.00028,0.02,33.4385582426823,0.592501594997384,47,18,"sdv.27.nea","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1284",1284,0.19014,1,8e-05,0.002,0,0,18.258124972774,0.526059884469889,48,19,"rjc.27.afg","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1285",1285,0.24826,1,0.00134,0.016,1e-04,0.01,35.6847263575246,0.595242674372613,49,20,"rjc.27.347d","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1286",1286,0.08256,0.844,0.03356,0.454,0.0073,0.394,120.257900674674,0.386577803984916,50,21,"sardina_pilchardus","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1287",1287,0.10018,0.8,0.05426,0.482,0.01052,0.46,81.1656766994263,0.391451866187273,51,22,"zeus_faber","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1288",1288,0.11874,0.852,0.0381,0.216,0.00236,0.152,70.8823769228542,0.695374539719984,52,23,"chelidonichtys_lucerna","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1289",1289,0.11808,0.974,0.02508,0.134,0.00226,0.122,59.8897669379965,0.778761331527823,53,24,"spondyliosoma_cantharus","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1290",1290,0.05016,0.814,0,0,0,0,24.0254032825093,0.604143673864299,54,25,"anarchias_lupus","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1291",1291,0.0616,0.734,0.02,0.168,0.00264,0.152,92.5086496944697,0.730754821993542,55,26,"scophthalmus_rhombus","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1292",1292,0.18408,0.996,8e-04,0.026,6e-05,0.006,87.7063643993608,0.622565182169748,56,27,"arg-comb-ex5.","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1293",1293,0.16582,0.966,0.07102,0.376,0.00702,0.326,161.56649765349,0.512194719599827,57,28,"ane-pore","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1294",1294,0.07394,0.746,0,0,0,0,19.728903207159,0.567053890148499,58,29,"ang-78ab_2","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.1,0
"1295",1295,0.07468,0.976,0.0362,0.34,0.004,0.266,105.604783729671,0.256686275153691,1,1,"her-nis","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1296",1296,0.1602,1,0.01908,0.096,0.00122,0.074,34.8952122824529,0.566858778943536,2,2,"pol-nsea","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1297",1297,0.13346,0.996,0.00048,0.016,6e-05,0.006,34.0054244916643,0.61347995043026,3,3,"lin-comb","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1298",1298,0.0468,0.986,0,0,0,0,31.4169758658135,0.448056060964819,4,4,"smn-con","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1299",1299,0.0403,1,0.00108,0.004,8e-05,0.004,42.2471462723774,0.425953302339463,5,5,"mut-comb","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1300",1300,0.03672,1,0.00054,0.004,6e-05,0.004,35.5924892119775,0.412543192627938,6,6,"tur-nsea","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1301",1301,0.11362,1,0.02034,0.17,0.0035,0.16,90.8657321245191,0.569999401524122,7,7,"lem-nsea","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1302",1302,0.02676,0.894,0,0,0,0,3.51031632761708,0.0953249368832197,8,8,"meg-4a6a","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1303",1303,0.03952,0.84,0.00582,0.378,0.01134,0.48,79.1239661077133,0.137226090618468,9,9,"san-ns4","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1304",1304,0.06,1,0.004,0.02,0.00036,0.02,60.2091346857377,0.567198057116201,10,10,"ple-celt","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1305",1305,0.11046,1,0.0344,0.244,0.00532,0.234,104.286598697529,0.462710251669262,11,11,"whg-7e-k","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1306",1306,0.05428,1,8e-04,0.01,8e-05,0.008,30.617754660828,0.553310445556667,12,12,"had-iris","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1307",1307,0.17476,1,0.00354,0.06,0.00046,0.032,44.1394219741562,0.595710136715392,13,13,"ang-78ab","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1308",1308,0.22606,1,0.0424,0.148,0.00206,0.11,38.8830283785141,0.527559606904537,14,14,"ang-ivvi","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1309",1309,0.04776,1,0.00104,0.004,6e-05,0.004,35.7581050726831,0.536656612294637,15,15,"nep-2829","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1310",1310,0.12902,0.886,0.06908,0.626,0.00898,0.51,104.70604615473,0.283653586496035,16,1,"her-nis","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1311",1311,0.27174,0.998,0.0462,0.21,0.00264,0.154,32.2399647535995,0.56498773439169,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1312",1312,0.26886,0.998,0.00258,0.07,0.00034,0.022,33.1029499318483,0.607385671840855,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1313",1313,0.0545,0.528,0.00034,0.012,0,0,40.3712240329268,0.555715875646954,19,4,"smn-con","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1314",1314,0.04038,0.796,0.00298,0.01,8e-05,0.006,57.4995807104223,0.637373211563192,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1315",1315,0.01664,0.514,0.0024,0.016,0.00028,0.012,51.2874302891197,0.687188807624625,21,6,"tur-nsea","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1316",1316,0.18322,0.978,0.05262,0.384,0.0073,0.338,82.8678785214707,0.59157290907498,22,7,"lem-nsea","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1317",1317,0.01986,0.94,0,0,0,0,5.43155019410403,0.154034803479283,23,8,"meg-4a6a","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1318",1318,0.0593,0.852,0.00844,0.532,0.01832,0.72,76.0493931580894,0.147458097560181,24,9,"san-ns4","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1319",1319,0.09376,0.934,0.0165,0.066,0.00094,0.052,70.27568886727,0.730498506237359,25,10,"ple-celt","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1320",1320,0.20324,0.986,0.08104,0.52,0.01198,0.502,100.013251157748,0.524401844997096,26,11,"whg-7e-k","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1321",1321,0.04712,0.936,0.00302,0.022,2e-04,0.014,37.8359124808885,0.776650989875157,27,12,"had-iris","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1322",1322,0.2534,0.994,0.0109,0.148,0.00084,0.062,40.1205922632254,0.562023003596965,28,13,"ang-78ab","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1323",1323,0.31864,1,0.07302,0.246,0.00386,0.206,35.3955813354464,0.505465557010147,29,14,"ang-ivvi","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1324",1324,0.0445,0.888,0.00274,0.01,0.00012,0.01,44.0469956675702,0.731497205775623,30,15,"nep-2829","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1325",1325,0.0924,0.992,0.00014,0.004,0,0,48.766751657715,0.625038172073059,31,16,"syc27.67","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1326",1326,0.05614,0.994,8e-05,0.002,2e-05,0.002,75.1948715036668,0.504788825158198,32,17,"syc27.8c","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1327",1327,0.13166,0.998,0.00058,0.016,0.00012,0.008,35.3663071052119,0.613273513149777,33,18,"sdv.27.nea","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1328",1328,0.07502,0.848,8e-05,0.002,0,0,18.1861679474078,0.536180961670683,34,19,"rjc.27.afg","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1329",1329,0.12686,1,0,0,0,0,38.3598361569655,0.627818143290919,35,20,"rjc.27.347d","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1330",1330,0.06772,0.98,0.02692,0.398,0.0055,0.318,97.9175147513214,0.258524482386192,36,21,"sardina_pilchardus","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1331",1331,0.07554,0.954,0.04012,0.366,0.0075,0.342,66.2608363001854,0.265641293862278,37,22,"zeus_faber","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1332",1332,0.10388,1,0.02474,0.164,0.0018,0.11,65.7608309367535,0.576587767453739,38,23,"chelidonichtys_lucerna","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1333",1333,0.09844,1,0.0141,0.08,0.00108,0.064,53.2450887744926,0.603811406606276,39,24,"spondyliosoma_cantharus","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1334",1334,0.04638,0.906,0,0,0,0,22.0092703731679,0.544814568801931,40,25,"anarchias_lupus","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1335",1335,0.0679,1,0.01844,0.172,0.00264,0.142,73.4626456435902,0.474571049638411,41,26,"scophthalmus_rhombus","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1336",1336,0.0811,1,2e-05,0.002,0,0,85.1369952039452,0.600169751086109,42,27,"arg-comb-ex5.","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1337",1337,0.12384,1,0.04834,0.268,0.0045,0.236,149.412718344404,0.425375198146285,43,28,"ane-pore","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1338",1338,0.06368,0.84,0,0,0,0,18.7106088658488,0.544063082267238,44,29,"ang-78ab_2","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1339",1339,0.1862,0.956,0.00044,0.014,2e-05,0.002,51.9324349363175,0.675541077865152,45,16,"syc27.67","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1340",1340,0.10366,0.802,8e-05,0.002,0,0,97.0585913078593,0.653728418288961,46,17,"syc27.8c","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1341",1341,0.2606,0.994,0.00306,0.082,0.00032,0.024,33.2303857213081,0.588812962549368,47,18,"sdv.27.nea","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1342",1342,0.24102,1,0.00072,0.022,0.00012,0.008,19.3245803433373,0.556786993078651,48,19,"rjc.27.afg","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1343",1343,0.2997,1,0.00164,0.028,8e-05,0.008,36.3151975205248,0.605759312146968,49,20,"rjc.27.347d","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1344",1344,0.10956,0.916,0.04692,0.654,0.01096,0.558,97.3477693731738,0.312931513821418,50,21,"sardina_pilchardus","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1345",1345,0.13186,0.89,0.07582,0.67,0.01504,0.642,63.6644512796091,0.307045653737128,51,22,"zeus_faber","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1346",1346,0.16312,0.92,0.05606,0.312,0.0035,0.22,64.3286941610688,0.631081208545335,52,23,"chelidonichtys_lucerna","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1347",1347,0.1749,0.994,0.04698,0.252,0.00356,0.206,55.7933087081838,0.725494080230955,53,24,"spondyliosoma_cantharus","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1348",1348,0.06182,0.822,0.00126,0.002,2e-05,0.002,24.7603539883693,0.622624771322948,54,25,"anarchias_lupus","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1349",1349,0.10552,0.836,0.0395,0.33,0.0055,0.29,83.8172843417508,0.662099002649261,55,26,"scophthalmus_rhombus","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1350",1350,0.21988,0.996,0.0016,0.05,0.00012,0.006,88.6869108910565,0.629525385222389,56,27,"arg-comb-ex5.","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1351",1351,0.2244,0.982,0.11078,0.57,0.0103,0.506,133.406443957695,0.422922308449541,57,28,"ane-pore","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1352",1352,0.09044,0.77,1e-04,0.004,0,0,20.5918211207708,0.591856128501762,58,29,"ang-78ab_2","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.15,0
"1353",1353,0.08434,0.98,0.04184,0.396,0.00508,0.318,115.330709120827,0.28032641220912,1,1,"her-nis","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1354",1354,0.19054,1,0.03154,0.162,0.00166,0.11,34.41918220866,0.559125860622637,2,2,"pol-nsea","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1355",1355,0.14934,0.998,0.00052,0.018,1e-04,0.008,35.2281162749817,0.635538104558139,3,3,"lin-comb","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1356",1356,0.04726,0.986,0,0,0,0,32.0123470421781,0.456547001188768,4,4,"smn-con","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1357",1357,0.04142,1,0.00146,0.006,0.00012,0.006,45.5889140752812,0.459646395409498,5,5,"mut-comb","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1358",1358,0.03868,1,0.00142,0.008,0.00012,0.008,39.7479944452305,0.460708562172573,6,6,"tur-nsea","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1359",1359,0.13418,1,0.02572,0.232,0.00382,0.194,90.247524297516,0.566121392915481,7,7,"lem-nsea","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1360",1360,0.02676,0.894,0,0,0,0,3.76018776336854,0.102110359226652,8,8,"meg-4a6a","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1361",1361,0.04302,0.868,0.00628,0.416,0.01194,0.516,89.7571321092757,0.155667378044648,9,9,"san-ns4","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1362",1362,0.06658,1,0.00544,0.032,3e-04,0.02,63.7027309273977,0.600109358880638,10,10,"ple-celt","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1363",1363,0.13288,1,0.04548,0.322,0.00674,0.302,106.518953237873,0.472615007832359,11,11,"whg-7e-k","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1364",1364,0.05806,1,0.00124,0.014,0.00018,0.012,32.9988447677936,0.596340447024452,12,12,"had-iris","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1365",1365,0.2019,1,0.0087,0.12,0.00078,0.056,43.8118519080237,0.591289217723885,13,13,"ang-78ab","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1366",1366,0.26128,1,0.0584,0.206,0.00292,0.166,39.722740380315,0.538952704408947,14,14,"ang-ivvi","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1367",1367,0.04992,1,0.00116,0.006,0.00014,0.006,38.1696147662405,0.572848480404809,15,15,"nep-2829","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1368",1368,0.14828,0.952,0.08146,0.73,0.01158,0.63,92.396376873215,0.250306115471085,16,1,"her-nis","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1369",1369,0.3063,0.998,0.06032,0.262,0.0023,0.158,30.9490896153617,0.54236585420945,17,2,"pol-nsea","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1370",1370,0.29516,1,0.0027,0.078,0.00034,0.028,32.8150072327839,0.602102388324342,18,3,"lin-comb","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1371",1371,0.05622,0.526,4e-04,0.012,4e-05,0.002,40.7420156521141,0.560819877179609,19,4,"smn-con","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1372",1372,0.05424,0.814,0.01066,0.034,0.00054,0.028,57.6909986721111,0.639495047574604,20,5,"mut-comb","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1373",1373,0.02418,0.556,0.00444,0.034,0.00054,0.03,52.2194784581071,0.699677112581309,21,6,"tur-nsea","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1374",1374,0.2223,0.992,0.07364,0.528,0.0103,0.478,71.3960053629506,0.509678096537133,22,7,"lem-nsea","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1375",1375,0.01988,0.94,0,0,0,0,5.60236882742309,0.158879095380048,23,8,"meg-4a6a","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1376",1376,0.06366,0.9,0.0093,0.57,0.01988,0.79,70.9272281068408,0.137526332394399,24,9,"san-ns4","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1377",1377,0.10936,0.948,0.02146,0.092,0.00114,0.07,69.3580891251875,0.720960282539814,25,10,"ple-celt","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1378",1378,0.23976,0.996,0.10402,0.682,0.01516,0.65,76.0484542190383,0.398746658467679,26,11,"whg-7e-k","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1379",1379,0.0574,0.94,0.00292,0.026,0.00018,0.014,38.1505798967373,0.783110111486771,27,12,"had-iris","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1380",1380,0.28318,0.998,0.01706,0.18,0.00092,0.066,39.8210219766042,0.557826520375316,28,13,"ang-78ab","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1381",1381,0.35394,1,0.08958,0.304,0.00454,0.246,34.9208997072458,0.498686879996002,29,14,"ang-ivvi","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1382",1382,0.05612,0.91,0.00472,0.018,0.00028,0.016,44.3277172247202,0.736159204432829,30,15,"nep-2829","roller-coaster","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1383",1383,0.0986,0.992,0.00012,0.002,2e-05,0.002,50.5530441109285,0.647932888899412,31,16,"syc27.67","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1384",1384,0.0588,0.994,1e-04,0.002,0,0,78.8742490163692,0.529488762997177,32,17,"syc27.8c","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1385",1385,0.14694,0.998,0.00076,0.022,8e-05,0.006,36.5898577376179,0.634490633518607,33,18,"sdv.27.nea","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1386",1386,0.07928,0.842,0,0,0,0,19.3623500968399,0.570858221762316,34,19,"rjc.27.afg","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1387",1387,0.13634,1,0.00014,0.004,0,0,39.9895328377038,0.654490654092109,35,20,"rjc.27.347d","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1388",1388,0.07558,0.984,0.0301,0.446,0.0062,0.364,106.391290038234,0.280897174089709,36,21,"sardina_pilchardus","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1389",1389,0.08246,0.962,0.04414,0.406,0.00828,0.378,72.9077655755453,0.292288993944397,37,22,"zeus_faber","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1390",1390,0.12208,1,0.03086,0.19,0.00192,0.124,68.2032830724863,0.598003068994093,38,23,"chelidonichtys_lucerna","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
"1391",1391,0.11396,1,0.01778,0.102,0.00158,0.086,54.9009527263854,0.62258928011449,39,24,"spondyliosoma_cantharus","one-way","3.2.1",2,"option_f:a option_r:a option_b:a MK:1.5","observation_error",FALSE,NA,NA,NA,NA,1.2,0
